app	ncores	wall_time mean (s)	wall_time stdev (s)	cpu_time mean (s)	cpu_time stdev (s)	peak_mem mean (kB)	peak_mem stdev (kB)
cellSNP	8	10356	1101	50672	4508	32260341	28647
cellsnp-lite	8	2174	92	12808	546	669813	35220
vartrix	8	12206	1267	63647	5885	6454079	20996
cellSNP	16	8277	514	51775	772	60241772	25946
cellsnp-lite	16	1783	271	12531	1445	786640	32980
vartrix	16	10574	1054	68041	5638	6520676	5431
cellSNP	32	7811	866	63621	3851	116084357	38136
cellsnp-lite	32	1456	228	13637	2162	865708	131349
vartrix	32	9663	977	74055	10529	6628552	7678
